id,song_name,danceability,energy,liveness,kmeans
2Vc6NJ9PW9gD9q343XFRKx,Mercury: Retrograde,0.831,0.8140000000000001,0.0556,0
7pgJBLVz5VmnL7uGHmRj6p,Pathology,0.7190000000000001,0.493,0.118,0
4jCeguq9rMTlbMmPHuO7S3,Venom,0.7979999999999999,0.624,0.166,0
6fsypiJHyWmeINsOLC1cos,Gatteka,0.721,0.568,0.128,0
0XfQbq7DaMOmVXgQ71eA6E,kamikaze (+ pulse),0.718,0.6679999999999999,0.124,0
0LLeuNBWPOg3XA73yab3PT,T.R.U. (Totally Rotten Underground),0.6940000000000001,0.711,0.1119999999999999,0
37gqBnUAZe8BY8WR56kDNk,I Put My Dick in Your Mental,0.774,0.7509999999999999,0.0728,0
7EL7ifncK2PWFYThJjzR25,BRAINFOOD,0.8640000000000001,0.365,0.1159999999999999,0
5o7ZDvfOry1MNhNLBOJulo,1000 Rounds,0.825,0.7609999999999999,0.3339999999999999,0
1umsRbM7L4ju7rn9aU8Ju6,Sacrifice,0.767,0.5760000000000001,0.0968,0
4Ag89Y7qSUrpxcgRtSzSam,D(R)Own,0.617,0.541,0.369,0
28xkYPSP0P5xu5vT6MQfCy,"Okay,ButThisIsTheLastTime",0.755,0.298,0.1009999999999999,0
3uE1swbcRp5BrO64UNy6Ex,TakingOutTheTrash,0.8140000000000001,0.575,0.109,0
3KJrwOuqiEwHq6QTreZT61,Io sono qui,0.812,0.813,0.0758,0
4irYeuAi87yyGHcI4h9s0x,Paris,0.8490000000000001,0.648,0.0984,0
4QhUXx4ON40TIBrZIlnIke,Murder,0.602,0.578,0.1639999999999999,0
09320vyX4qHd4GjHIpy5w0,High 'N Mighty,0.8759999999999999,0.768,0.283,0
2SZLtfY7dz7NLSxxnvDDis,Euronymous,0.777,0.711,0.205,0
0KRKqIJPX6LT9v1ZQGbfn7,Hades,0.8290000000000001,0.59,0.114,0
0wxwXyrJYHyGUKlBaCIhgp,Squeeze,0.787,0.727,0.376,0
0vUhboOWxdj97denl4T91p,No Teeth,0.705,0.648,0.373,0
6xEnbXM1us9fDJy2LC0lru,Bang Ya Fucking Head,0.69,0.76,0.134,0
2AoJ1NSLrqfppo6oT5Bqc8,Loch Ness,0.936,0.476,0.402,0
30Q5BsSJBLb9SGm0BtuJj4,Hold Uh,0.838,0.634,0.111,0
3Xi5SYx5pOqte5tLKHEmPb,Bone Saw,0.964,0.51,0.0549,0
2bmSQxuradc103RXzvjTkE,Coffin Wave,0.83,0.387,0.0926,0
2Tu4kHEeIVFn6Re2ybm2lQ,OhNo!,0.455,0.525,0.125,0
0QVG9r2otIXoWCHyh09SqU,TheArtOfCremation,0.748,0.573,0.0929,0
